a    b     c      brian constant
4    32    40     1.503060095515345
4    33    30     1.503060095508908
4    33    31     1.50306009551824
4    33    32     1.503060095514044
4    33    33     1.50306009551593
4    33    34     1.503060095515082
4    33    35     1.503060095515464
4    33    36     1.503060095515292
4    33    37     1.503060095515369
4    33    38     1.503060095515334
4    33    39     1.503060095515351
4    33    40     1.503060095515343
4    34    30     1.503060095508908
4    34    31     1.50306009551824
4    34    32     1.503060095514045
4    34    33     1.503060095515931
4    34    34     1.503060095515083
4    34    35     1.503060095515464
4    34    36     1.503060095515292
4    34    37     1.50306009551537
4    34    38     1.503060095515334
4    34    39     1.50306009551535
4    34    40     1.503060095515343
4    35    30     1.503060095508908
4    35    31     1.50306009551824
4    35    32     1.503060095514044
4    35    33     1.50306009551593
4    35    34     1.503060095515082
4    35    35     1.503060095515464
4    35    36     1.503060095515292
4    35    37     1.503060095515369
4    35    38     1.503060095515335
4    35    39     1.50306009551535
4    35    40     1.503060095515343
4    36    30     1.503060095508909
4    36    31     1.503060095518241
4    36    32     1.503060095514045
4    36    33     1.503060095515931
4    36    34     1.503060095515083
4    36    35     1.503060095515464
4    36    36     1.503060095515292
4    36    37     1.50306009551537
4    36    38     1.503060095515335
4    36    39     1.503060095515351
4    36    40     1.503060095515343
4    37    30     1.503060095508907
4    37    31     1.503060095518239
4    37    32     1.503060095514044
4    37    33     1.50306009551593
4    37    34     1.503060095515083
4    37    35     1.503060095515464
4    37    36     1.503060095515292
4    37    37     1.503060095515369
4    37    38     1.503060095515335
4    37    39     1.50306009551535
4    37    40     1.503060095515343
4    38    30     1.503060095508909
4    38    31     1.50306009551824
4    38    32     1.503060095514045
4    38    33     1.503060095515931
4    38    34     1.503060095515083
4    38    35     1.503060095515465
4    38    36     1.503060095515294
4    38    37     1.50306009551537
4    38    38     1.503060095515336
4    38    39     1.503060095515351
4    38    40     1.503060095515345
4    39    30     1.503060095508908
4    39    31     1.50306009551824
4    39    32     1.503060095514045
4    39    33     1.503060095515931
4    39    34     1.503060095515083
4    39    35     1.503060095515464
4    39    36     1.503060095515293
4    39    37     1.503060095515369
4    39    38     1.503060095515335
4    39    39     1.50306009551535
4    39    40     1.503060095515343
4    40    30     1.503060095508908
4    40    31     1.503060095518239
4    40    32     1.503060095514044
4    40    33     1.50306009551593
4    40    34     1.503060095515082
4    40    35     1.503060095515463
4    40    36     1.503060095515292
4    40    37     1.503060095515369
4    40    38     1.503060095515334
4    40    39     1.50306009551535
4    40    40     1.503060095515343
5    30    30     1.503046767642546
5    30    31     1.503046767642658
5    30    32     1.503046767642615
5    30    33     1.503046767642631
5    30    34     1.503046767642625
5    30    35     1.503046767642628
5    30    36     1.503046767642627
5    30    37     1.503046767642627
5    30    38     1.503046767642627
5    30    39     1.503046767642627
5    30    40     1.503046767642627
5    31    30     1.5030467676438
5    31    31     1.503046767643911
5    31    32     1.503046767643868
5    31    33     1.503046767643884
5    31    34     1.503046767643879
5    31    35     1.503046767643881
5    31    36     1.50304676764388
5    31    37     1.50304676764388
5    31    38     1.50304676764388
5    31    39     1.50304676764388
5    31    40     1.50304676764388
5    32    30     1.503046767643236
5    32    31     1.503046767643348
5    32    32     1.503046767643306
5    32    33     1.503046767643321
5    32    34     1.503046767643315
5    32    35     1.503046767643318
5    32    36     1.503046767643316
5    32    37     1.503046767643318
5    32    38     1.503046767643317
5    32    39     1.503046767643317
5    32    40     1.503046767643317
5    33    30     1.50304676764349
5    33    31     1.503046767643601
5    33    32     1.503046767643558
5    33    33     1.503046767643575
5    33    34     1.503046767643568
5    33    35     1.503046767643571
5    33    36     1.50304676764357
5    33    37     1.503046767643571
5    33    38     1.50304676764357
5    33    39     1.50304676764357
5    33    40     1.503046767643571
5    34    30     1.503046767643376
5    34    31     1.503046767643487
5    34    32     1.503046767643445
5    34    33     1.503046767643461
5    34    34     1.503046767643454
5    34    35     1.503046767643457
5    34    36     1.503046767643456
5    34    37     1.503046767643457
5    34    38     1.503046767643457
5    34    39     1.503046767643457
5    34    40     1.503046767643457
5    35    30     1.503046767643427
5    35    31     1.503046767643538
5    35    32     1.503046767643495
5    35    33     1.503046767643512
5    35    34     1.503046767643505
5    35    35     1.503046767643507
5    35    36     1.503046767643506
5    35    37     1.503046767643507
5    35    38     1.503046767643507
5    35    39     1.503046767643507
5    35    40     1.503046767643507
5    36    30     1.503046767643404
5    36    31     1.503046767643516
5    36    32     1.503046767643472
5    36    33     1.503046767643489
5    36    34     1.503046767643482
5    36    35     1.503046767643485
5    36    36     1.503046767643484
5    36    37     1.503046767643484
5    36    38     1.503046767643484
5    36    39     1.503046767643484
5    36    40     1.503046767643483
5    37    30     1.503046767643415
5    37    31     1.503046767643526
5    37    32     1.503046767643483
5    37    33     1.5030467676435
5    37    34     1.503046767643494
5    37    35     1.503046767643496
5    37    36     1.503046767643495
5    37    37     1.503046767643496
5    37    38     1.503046767643496
5    37    39     1.503046767643496
5    37    40     1.503046767643496
5    38    30     1.503046767643408
5    38    31     1.50304676764352
5    38    32     1.503046767643477
5    38    33     1.503046767643493
5    38    34     1.503046767643486
5    38    35     1.503046767643489
5    38    36     1.503046767643488
5    38    37     1.503046767643489
5    38    38     1.503046767643489
5    38    39     1.503046767643488
5    38    40     1.503046767643489
5    39    30     1.503046767643413
5    39    31     1.503046767643524
5    39    32     1.503046767643481
5    39    33     1.503046767643498
5    39    34     1.503046767643491
5    39    35     1.503046767643494
5    39    36     1.503046767643493
5    39    37     1.503046767643493
5    39    38     1.503046767643493
5    39    39     1.503046767643493
5    39    40     1.503046767643493
5    40    30     1.503046767643412
5    40    31     1.503046767643524
5    40    32     1.503046767643481
5    40    33     1.503046767643497
5    40    34     1.503046767643491
5    40    35     1.503046767643493
5    40    36     1.503046767643492
5    40    37     1.503046767643492
5    40    38     1.503046767643493
5    40    39     1.503046767643493
5    40    40     1.503046767643493
6    30    30     1.503048208720062
6    30    31     1.503048208730682
6    30    32     1.503048208725811
6    30    33     1.503048208728045
6    30    34     1.50304820872702
6    30    35     1.50304820872749
6    30    36     1.503048208727274
6    30    37     1.503048208727374
6    30    38     1.503048208727328
6    30    39     1.503048208727349
6    30    40     1.50304820872734
6    31    30     1.503048208720074
6    31    31     1.503048208730695
6    31    32     1.503048208725823
6    31    33     1.503048208728058
6    31    34     1.503048208727033
6    31    35     1.503048208727504
6    31    36     1.503048208727287
6    31    37     1.503048208727387
6    31    38     1.503048208727341
6    31    39     1.503048208727361
