a b c brian_constant
1 16 21 1.492066021430305
1 16 22 1.492066021430305
1 16 23 1.492066021430305
1 16 24 1.492066021430305
1 16 25 1.492066021430305
1 16 26 1.492066021430305
1 16 27 1.492066021430305
1 16 28 1.492066021430305
1 16 29 1.492066021430305
1 16 30 1.492066021430305
1 16 31 1.492066021430305
1 16 32 1.492066021430305
1 16 33 1.492066021430305
1 16 34 1.492066021430305
1 16 35 1.492066021430305
1 16 36 1.492066021430305
1 16 37 1.492066021430305
1 16 38 1.492066021430305
1 16 39 1.492066021430305
1 16 40 1.492066021430305
1 17 2 3.85410199556541
1 17 3 1.495531798895394
1 17 4 1.491472792280942
1 17 5 1.492167870204622
1 17 6 1.492048574392358
1 17 7 1.492069041160761
1 17 8 1.492065529584398
1 17 9 1.492066132074649
1 17 10 1.492066028703635
1 17 11 1.492066046439296
1 17 12 1.492066043396338
1 17 13 1.492066043918427
1 17 14 1.49206604382885
1 17 15 1.492066043844219
1 17 16 1.492066043841582
1 17 17 1.492066043842035
1 17 18 1.492066043841957
1 17 19 1.49206604384197
1 17 20 1.492066043841968
1 17 21 1.492066043841969
1 17 22 1.492066043841968
1 17 23 1.492066043841968
1 17 24 1.492066043841968
1 17 25 1.492066043841968
1 17 26 1.492066043841968
1 17 27 1.492066043841968
1 17 28 1.492066043841968
1 17 29 1.492066043841968
1 17 30 1.492066043841968
1 17 31 1.492066043841968
1 17 32 1.492066043841968
1 17 33 1.492066043841968
1 17 34 1.492066043841968
1 17 35 1.492066043841968
1 17 36 1.492066043841968
1 17 37 1.492066043841968
1 17 38 1.492066043841968
1 17 39 1.492066043841968
1 17 40 1.492066043841968
1 18 2 3.854101955052074
1 18 3 1.495531790213888
1 18 4 1.491472783741078
1 18 5 1.492167861640585
1 18 6 1.492048565832472
1 18 7 1.492069032600162
1 18 8 1.492065521023922
1 18 9 1.492066123514152
1 18 10 1.492066020143141
1 18 11 1.492066037878802
1 18 12 1.492066034835844
1 18 13 1.492066035357933
1 18 14 1.492066035268357
1 18 15 1.492066035283725
1 18 16 1.492066035281089
1 18 17 1.492066035281541
1 18 18 1.492066035281463
1 18 19 1.492066035281477
1 18 20 1.492066035281474
1 18 21 1.492066035281475
1 18 22 1.492066035281475
1 18 23 1.492066035281475
1 18 24 1.492066035281475
1 18 25 1.492066035281475
1 18 26 1.492066035281475
1 18 27 1.492066035281475
1 18 28 1.492066035281475
1 18 29 1.492066035281475
1 18 30 1.492066035281475
1 18 31 1.492066035281475
1 18 32 1.492066035281475
1 18 33 1.492066035281475
1 18 34 1.492066035281475
1 18 35 1.492066035281475
1 18 36 1.492066035281475
1 18 37 1.492066035281475
1 18 38 1.492066035281474
1 18 39 1.492066035281474
1 18 40 1.492066035281475
1 19 2 3.854101970526791
1 19 3 1.495531793529928
1 19 4 1.491472787003016
1 19 5 1.492167864911756
1 19 6 1.492048569102057
1 19 7 1.49206903587002
1 19 8 1.492065524293733
1 19 9 1.492066126783971
1 19 10 1.492066023412959
1 19 11 1.49206604114862
1 19 12 1.492066038105661
1 19 13 1.49206603862775
1 19 14 1.492066038538174
1 19 15 1.492066038553543
1 19 16 1.492066038550906
1 19 17 1.492066038551359
1 19 18 1.492066038551281
1 19 19 1.492066038551294
1 19 20 1.492066038551292
1 19 21 1.492066038551292
1 19 22 1.492066038551292
1 19 23 1.492066038551292
1 19 24 1.492066038551292
1 19 25 1.492066038551292
1 19 26 1.492066038551292
1 19 27 1.492066038551292
1 19 28 1.492066038551292
1 19 29 1.492066038551292
1 19 30 1.492066038551292
1 19 31 1.492066038551292
1 19 32 1.492066038551292
1 19 33 1.492066038551292
1 19 34 1.492066038551292
1 19 35 1.492066038551292
1 19 36 1.492066038551292
1 19 37 1.492066038551292
1 19 38 1.492066038551292
1 19 39 1.492066038551292
1 19 40 1.492066038551292
1 20 2 3.854101964615975
1 20 3 1.495531792263314
1 20 4 1.491472785757066
1 20 5 1.492167863662279
1 20 6 1.492048567853187
1 20 7 1.492069034621046
1 20 8 1.492065523044777
1 20 9 1.492066125535011
1 20 10 1.492066022164
1 20 11 1.492066039899661
1 20 12 1.492066036856702
1 20 13 1.492066037378791
1 20 14 1.492066037289215
1 20 15 1.492066037304584
1 20 16 1.492066037301947
1 20 17 1.4920660373024
1 20 18 1.492066037302322
1 20 19 1.492066037302335
1 20 20 1.492066037302333
1 20 21 1.492066037302333
1 20 22 1.492066037302333
1 20 23 1.492066037302333
1 20 24 1.492066037302333
1 20 25 1.492066037302333
1 20 26 1.492066037302333
